Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2022-12-01,BLS.NS,TRIM,2223,184.75570678710935,410711.9361877441,410.7119361877441
2022-12-01,DEEPAKFERT.NS,BUY,369,773.5255737304688,285430.93670654297,285.430936706543
2022-12-01,BDL.NS,TRIM,70,470.9765625,32968.359375,32.968359375
2022-12-01,ATGL.NS,TRIM,7,3607.4521484375,25252.1650390625,25.2521650390625
2022-12-01,GMDCLTD.NS,TRIM,2396,144.24884033203125,345620.2214355469,345.6202214355469
2022-12-01,ADANIENT.NS,TRIM,137,3907.98974609375,535394.5952148438,535.3945952148438
2022-12-01,MAZDOCK.NS,BUY,6309,443.01416015625,2794976.3364257812,2794.9763364257815
2022-12-01,HSCL.NS,BUY,26696,100.09730529785156,2672197.6622314453,2672.1976622314455
2023-01-02,GMDCLTD.NS,SELL,15312,141.220703125,2162371.40625,2162.37140625
2023-01-02,ATGL.NS,SELL,788,3545.73681640625,2794040.611328125,2794.040611328125
2023-01-02,BLS.NS,TRIM,894,169.57875061035156,151603.4030456543,151.6034030456543
2023-01-02,MAZDOCK.NS,TRIM,172,382.8946228027344,65857.87512207031,65.85787512207031
2023-01-02,ADANIPOWER.NS,TRIM,643,59.630001068115234,38342.090686798096,38.342090686798095
2023-01-02,BDL.NS,TRIM,619,461.4056396484375,285610.0909423828,285.61009094238284
2023-01-02,ADANIENT.NS,TRIM,83,3834.2236328125,318240.5615234375,318.2405615234375
2023-01-02,HSCL.NS,TRIM,3073,99.64999389648438,306224.4312438965,306.2244312438965
2023-01-02,DEEPAKFERT.NS,BUY,6,680.6255493164062,4083.7532958984375,4.083753295898438
2023-01-02,GESHIP.NS,BUY,5454,591.6937866210938,3227097.9122314453,3227.097912231445
2023-01-02,RVNL.NS,BUY,45215,65.77371978759766,2973958.740196228,2973.958740196228
2023-02-01,ADANIPOWER.NS,SELL,36257,42.52999877929688,1542010.165740967,1542.010165740967
2023-02-01,DEEPAKFERT.NS,SELL,3667,606.27685546875,2223217.2290039062,2223.217229003906
2023-02-01,HSCL.NS,SELL,23623,89.01404571533203,2102778.8019332886,2102.778801933289
2023-02-01,MAZDOCK.NS,TRIM,85,361.85882568359375,30758.00018310547,30.75800018310547
2023-02-01,BLS.NS,TRIM,1407,178.13885498046875,250641.36895751953,250.64136895751955
2023-02-01,ADANIENT.NS,BUY,465,2131.4716796875,991134.3310546875,991.1343310546876
2023-02-01,GESHIP.NS,BUY,50,550.8828125,27544.140625,27.544140625
2023-02-01,RVNL.NS,TRIM,6014,69.70767211914062,419221.9401245117,419.2219401245117
2023-02-01,BDL.NS,BUY,10,444.119384765625,4441.19384765625,4.44119384765625
2023-02-01,KARURVYSYA.NS,BUY,33306,83.30496978759766,2774555.3237457275,2774.5553237457275
2023-02-01,VBL.NS,BUY,12687,232.232177734375,2946329.6389160156,2946.3296389160155
2023-03-01,ADANIENT.NS,SELL,1372,1561.4591064453125,2142321.8940429688,2142.321894042969
2023-03-01,VBL.NS,SELL,12687,266.1011657714844,3376025.4901428223,3376.0254901428225
2023-03-01,BLS.NS,BUY,2944,160.308349609375,471947.78125,471.94778125
2023-03-01,MAZDOCK.NS,BUY,649,359.2354431152344,233143.8025817871,233.14380258178713
2023-03-01,RVNL.NS,BUY,14064,56.13074493408203,789422.7967529297,789.4227967529297
2023-03-01,KARURVYSYA.NS,BUY,6386,80.6344223022461,514931.42082214355,514.9314208221435
2023-03-01,BDL.NS,TRIM,35,476.3282470703125,16671.488647460938,16.671488647460937
2023-03-01,GESHIP.NS,BUY,886,502.1578369140625,444911.8435058594,444.9118435058594
2023-03-01,AEGISLOG.NS,BUY,7299,353.14227294921875,2577585.4502563477,2577.5854502563475
2023-04-03,GESHIP.NS,SELL,6390,571.6437377929688,3652803.4844970703,3652.8034844970703
2023-04-03,MAZDOCK.NS,TRIM,288,319.2286682128906,91937.8564453125,91.9378564453125
2023-04-03,BLS.NS,TRIM,2402,163.4661407470703,392645.6700744629,392.6456700744629
2023-04-03,KARURVYSYA.NS,TRIM,5481,79.59810638427734,436277.2210922241,436.2772210922241
2023-04-03,AEGISLOG.NS,TRIM,881,362.7427368164063,319576.35113525396,319.57635113525396
2023-04-03,RVNL.NS,TRIM,18962,72.2983169555664,1370920.6861114502,1370.9206861114503
2023-04-03,BDL.NS,TRIM,766,486.1373291015625,372381.1940917969,372.3811940917969
2023-04-03,VBL.NS,BUY,10124,280.07061767578125,2835434.9333496094,2835.4349333496093
2023-04-03,KALYANKJIL.NS,BUY,22123,104.8970184326172,2320636.7387847905,2320.6367387847904
2023-04-03,PGEL.NS,BUY,18134,135.70591735839844,2460891.1053771973,2460.891105377197
2023-05-02,BDL.NS,SELL,4690,488.700439453125,2292005.0610351562,2292.0050610351564
2023-05-02,MAZDOCK.NS,TRIM,325,379.8582153320313,123453.91998291017,123.45391998291018
